Entity,Code,Day,weekly_cases
40-59,,2020-11-28,0.370834318128102
40-59,,2020-12-05,0.520207988655164
40-59,,2020-12-12,0.701489009690381
40-59,,2020-12-19,1
40-59,,2020-12-26,1.41715906405105
40-59,,2021-01-02,1.83502718033562
40-59,,2021-01-09,2.47388324273221
40-59,,2021-01-16,2.73694162136611
40-59,,2021-01-23,2.25100449066415
40-59,,2021-01-30,2.01630820137083
40-59,,2021-02-06,1.97589222406051
40-59,,2021-02-13,1.48522807846845
40-59,,2021-02-20,1.02812573859608
40-59,,2021-02-27,0.987237059796738
40-59,,2021-03-06,0.895060269439849
40-59,,2021-03-13,0.629638383360908
60-79,,2020-03-21,0.0616438356164384
60-79,,2020-03-28,0.275553213909378
60-79,,2020-04-04,0.379873551106428
60-79,,2020-04-11,0.192307692307692
60-79,,2020-04-18,0.146996838777661
60-79,,2020-04-25,0.0500526870389884
60-79,,2020-05-02,0
60-79,,2020-05-09,0
60-79,,2020-05-16,0
60-79,,2020-05-23,0
60-79,,2020-05-30,0
60-79,,2020-06-06,0
60-79,,2020-06-13,0.0289778714436249
60-79,,2020-06-20,0.0869336143308746
60-79,,2020-06-27,0.142781875658588
60-79,,2020-07-04,0.269757639620653
60-79,,2020-07-11,0.383034773445732
60-79,,2020-07-18,0.522655426765016
60-79,,2020-07-25,0.568493150684932
60-79,,2020-08-01,0.533192834562698
60-79,,2020-08-08,0.551633298208641
60-79,,2020-08-15,0.536354056902002
60-79,,2020-08-22,0.551106427818757
60-79,,2020-08-29,0.651211801896733
60-79,,2020-09-05,0.752370916754478
60-79,,2020-09-12,1.03477344573235
60-79,,2020-09-19,1.43203371970495
60-79,,2020-09-26,2.10695468914647
60-79,,2020-10-03,1.98472075869336
60-79,,2020-10-10,1.5031612223393
60-79,,2020-10-17,0.704425711275026
60-79,,2020-10-24,0.383561643835616
60-79,,2020-10-31,0.275026343519494
60-79,,2020-11-07,0.253951527924131
60-79,,2020-11-14,0.298208640674394
60-79,,2020-11-21,0.312961011591149
60-79,,2020-11-28,0.373024236037935
60-79,,2020-12-05,0.58377239199157
60-79,,2020-12-12,0.702845100105374
60-79,,2020-12-19,1
60-79,,2020-12-26,1.43466807165437
60-79,,2021-01-02,1.82244467860906
60-79,,2021-01-09,2.3277133825079
60-79,,2021-01-16,2.58640674394099
60-79,,2021-01-23,2.06059009483667
60-79,,2021-01-30,1.61169652265543
60-79,,2021-02-06,1.31770284510011
60-79,,2021-02-13,0.947839831401475
60-79,,2021-02-20,0.665964172813488
60-79,,2021-02-27,0.643308746048472
60-79,,2021-03-06,0.62118018967334
60-79,,2021-03-13,0.468914646996839
80+,,2020-03-21,0
80+,,2020-03-28,0.16289592760181
80+,,2020-04-04,0.409502262443439
80+,,2020-04-11,0.334841628959276
80+,,2020-04-18,0.289592760180996
80+,,2020-04-25,0.15158371040724
80+,,2020-05-02,0.0407239819004525
80+,,2020-05-09,0
80+,,2020-05-16,0
80+,,2020-05-23,0
80+,,2020-05-30,0
80+,,2020-06-06,0
80+,,2020-06-13,0
80+,,2020-06-20,0.085972850678733
80+,,2020-06-27,0.165158371040724
80+,,2020-07-04,0.282805429864253
80+,,2020-07-11,0.418552036199095
80+,,2020-07-18,0.518099547511312
80+,,2020-07-25,0.52262443438914
80+,,2020-08-01,0.470588235294118
80+,,2020-08-08,0.531674208144796
80+,,2020-08-15,0.447963800904977
80+,,2020-08-22,0.69683257918552
80+,,2020-08-29,0.613122171945701
80+,,2020-09-05,0.726244343891403
80+,,2020-09-12,0.857466063348416
80+,,2020-09-19,1.19230769230769
80+,,2020-09-26,1.76923076923077
80+,,2020-10-03,1.89140271493213
80+,,2020-10-10,1.61764705882353
80+,,2020-10-17,0.96606334841629
80+,,2020-10-24,0.549773755656109
